,Rank,Name,2020 Population,2019 Population,Change
602,603,Zhangzhou,871690,841966,3.53%
603,604,Tianmen,869837,840064,3.54%
604,605,Hermosillo,867885,851738,1.90%
605,606,Indianapolis,866640,860902,0.33%
606,607,Trujillo,864633,851312,1.56%
607,608,Bhiwandi,859435,845711,1.62%
608,609,Linfen,858103,824417,4.09%
609,610,Xinyu,857567,823491,4.14%
610,611,Deyang,857306,828305,3.50%
611,612,Hengshui,856705,820969,4.35%
612,613,Warri,855941,814063,5.14%
613,614,Liaoyang,855663,841780,1.65%
614,615,Guntur,854488,833782,2.48%
615,616,Soshanguve,853347,840932,1.48%
616,617,Sylhet,851808,813538,4.70%
617,618,Palermo,851146,852454,-0.15%
618,619,Leiyang,851071,804564,5.78%
619,620,Tainan,849996,843219,0.80%
620,621,Nampula,848096,810633,4.62%
621,622,Tuxtla Gutierrez,847924,830603,2.09%
622,623,Erbil,846374,833237,1.58%
623,624,Changzhi,846365,824378,2.67%
624,625,Ashgabat,846255,828065,2.20%
625,626,Taiz,845154,815303,3.66%
626,627,Bahawalpur,844673,820047,3.00%
627,628,Jiangyin,843292,810972,3.99%
628,629,Tyumen,843196,817265,3.17%
629,630,Saratov,842680,844777,-0.25%
630,631,Birmingham,842065,835352,0.80%
631,632,Fuxin,839189,828643,1.27%
632,633,Culiacan,839054,821781,2.10%
633,634,Hufuf Mubarraz,836727,825074,1.41%
634,635,Puducherry,836003,815939,2.46%
635,636,Libreville,834204,823870,1.25%
636,637,Valencia,833724,831815,0.23%
637,638,Bucheon,832093,835259,-0.38%
638,639,Xingtai,831175,812888,2.25%
639,640,Changde,830010,806331,2.94%
640,641,Huangshi,828324,812772,1.91%
641,642,Lubango,828248,786713,5.28%
642,643,Shangqiu,826598,802826,2.96%
643,644,Quebec City,826109,820752,0.65%
644,645,Banghazi,823974,811293,1.56%
645,646,Luzhou,822996,813315,1.19%
646,647,Baishan,821967,783588,4.90%
647,648,Firozabad,821043,796264,3.11%
648,649,Winnipeg,816593,808419,1.01%
649,650,Yibin,814166,797639,2.07%
650,651,Ipoh,813553,799785,1.72%
651,652,Liling,812975,767636,5.91%
652,653,Thessaloniki,812166,811435,0.09%
653,654,Newcastle Upon Tyne,809481,805364,0.51%
654,655,Bologna,805986,802849,0.39%
655,656,Niigata,804298,806723,-0.30%
656,657,Xinyang,797369,777817,2.51%
657,658,Heze,795246,786745,1.08%
658,659,Yangquan,794262,774880,2.50%
659,660,Barcelona Puerto La Cruz,793641,782636,1.41%
660,661,Orumiyeh,793044,777790,1.96%
661,662,Xinghua,791297,766483,3.24%
662,663,Seattle,787740,746046,2.72%
663,664,Nottingham,787610,781151,0.83%
664,665,Maiduguri,786485,772394,1.82%
665,666,Sorocaba,785997,776054,1.28%
666,667,Izmir,783669,765242,2.41%
667,668,Haicheng,783484,772266,1.45%
668,669,Xiaogan,783483,760482,3.02%
669,670,Yongzhou,781940,753931,3.72%
670,671,Cabinda,777697,736984,5.52%
671,672,Zhuji,777536,758115,2.56%
672,673,Frankfurt,777156,768616,1.11%
673,674,Xalapa,775620,764044,1.52%
674,675,Huludao,775322,760634,1.93%
675,676,Bogra,775034,729609,6.23%
676,677,Vereeniging,774031,769425,0.60%
677,678,Nakhon Ratchasima,774022,764883,1.19%
678,679,Umuahia,773822,731563,5.78%
679,680,Enugu,772872,752323,2.73%
680,681,Bikaner,771878,757726,1.87%
681,682,Jiaozuo,766770,758858,1.04%
682,683,Hamilton,766688,762808,0.51%
683,684,Tianshui,765372,739871,3.45%
684,685,Cherthala,764135,726232,5.22%
685,686,Kuerle,761329,719603,5.80%
686,687,Shaoguan,761249,756232,0.66%
687,688,Liaocheng,760885,743338,2.36%
688,689,Ansan,760764,758858,0.25%
689,690,Gorakhpur,758214,751024,0.96%
690,691,Quzhou,757655,716061,5.81%
691,692,Cagayan De Oro City,753138,736874,2.21%
692,693,Amravati,752189,740529,1.57%
693,694,Huaihua,751803,718467,4.64%
694,695,Nellore,751034,729107,3.01%
695,696,Taixing,747588,725320,3.07%
696,697,Dasmarinas,747208,728707,2.54%
697,698,Denver,745172,719116,1.78%
698,699,Gebze,744674,718680,3.62%
699,700,Kumamoto,742612,743559,-0.13%
700,701,Bozhou,742150,710320,4.48%
701,702,Cuttack,742011,733202,1.20%
702,703,Langfang,739632,715581,3.36%
703,704,Sulaimaniya,739182,720411,2.61%
704,705,Ar Rayyan,737903,715997,3.06%
705,706,Kunshan,737654,705508,4.56%
706,707,Zigong,737291,728743,1.17%
707,708,Bur Sa'id,737000,723998,1.80%
708,709,Zaporizhzhya,736167,740538,-0.59%
709,710,Qingyuan,734856,725803,1.25%
710,711,Jincheng,733879,703498,4.32%
711,712,Banjarmasin,732005,720307,1.62%
712,713,Zaragoza,730828,727371,0.48%
713,714,Sheffield,730158,725062,0.70%
714,715,Zarqa,729220,719720,1.32%
715,716,Anqing,726950,709177,2.51%
716,717,Zaria,726172,719012,1.00%
717,718,Belgaum,724747,712055,1.78%
718,719,Okayama,724696,724948,-0.03%
719,720,Washington,724342,702756,1.51%
720,721,Lviv,723758,725202,-0.20%
721,722,Meishan,723267,697042,3.76%
722,723,Sao Jose Dos Campos,721795,711673,1.42%
723,724,Danyang,718649,693349,3.65%
724,725,Cheongju,717027,713273,0.53%
725,726,Muzaffarnagar,716748,690953,3.73%
726,727,Gaomi,716261,686786,4.29%
727,728,Zhumadian,716002,683882,4.70%
728,729,Jiamusi,715965,705995,1.41%
729,730,Malegaon,715605,700095,2.22%
730,731,Hanchuan,715218,686163,4.23%
731,732,Benguela,715130,686121,4.23%
732,733,Xianyang Shaanxi,715007,707306,1.09%
733,734,Ribeirao Preto,714111,703710,1.48%
734,735,Oshogbo,713677,698844,2.12%
735,736,Gaza,713621,693323,2.93%
736,737,Shaoyang,713559,697769,2.26%
737,738,Mangalore,713357,703413,1.41%
738,739,Rasht,712715,703698,1.28%
739,740,Linhai,708981,685239,3.46%
740,741,Buffalo City,708559,700466,1.16%
741,742,Florence,708357,707728,0.09%
742,743,Panzhihua,707134,698149,1.29%
743,744,Erduosi Ordoss,706657,682677,3.51%
744,745,Sialkot,705121,690447,2.13%
745,746,Zanzibar,705078,676814,4.18%
746,747,Oaxaca De Juarez,704559,694297,1.48%
747,748,Seville,703790,705325,-0.22%
748,749,Tongliao,702280,683849,2.70%
749,750,Jammu,702085,696856,0.75%
750,751,Boston,701984,687584,1.04%
751,752,El Paso,701120,692100,0.65%
752,753,Bhavnagar,700367,689884,1.52%
753,754,Tolyatti,700252,704137,-0.55%
754,755,Sargodha,700095,688086,1.75%
755,756,Suining Sichuan,699679,682654,2.49%
756,757,Gold Coast,699226,687460,1.71%
757,758,The Hague,697564,691389,0.89%
758,759,Tongling,696639,677201,2.87%
759,760,Wuzhou,696630,677691,2.79%
760,761,Kottayam,696061,652053,6.75%
761,762,Yulin Shaanxi,695614,685262,1.51%
762,763,Yanji,695165,673380,3.24%
763,764,Kayamkulam,694892,662470,4.89%
764,765,Maturin,694716,670377,3.63%
765,766,Lokoja,692050,643407,7.56%
766,767,Longyan,691987,680986,1.62%
767,768,Cotonou,691949,687732,0.61%
768,769,Nanded Waghala,689771,674189,2.31%
769,770,Taif,688693,682959,0.84%
770,771,Uberlandia,686896,677984,1.31%
771,772,Bacoor,686398,668419,2.69%
772,773,Bristol,686210,678612,1.12%
773,774,Kitwe,685908,663455,3.38%
774,775,Nashville Davidson,685628,673008,0.93%
775,776,Zagreb,684878,685233,-0.05%
776,777,Salta,684751,672335,1.85%
777,778,Padova,683604,679147,0.66%
778,779,Vientiane,682542,673061,1.41%
779,780,Dazhou,682342,658956,3.55%
780,781,Anqiu,682299,642202,6.24%
781,782,Balikpapan,682065,668550,2.02%
782,783,Celaya,680971,672501,1.26%
783,784,Cheonan,679802,670256,1.42%
784,785,Genoa,679613,682507,-0.42%
785,786,Tirupati,679456,653940,3.90%
786,787,Bunia,679418,636625,6.72%
787,788,Yuyao,678841,662003,2.54%
788,789,Yan An,678619,646393,4.99%
789,790,Jundiai,678521,668381,1.52%
790,791,Nantes,677766,669843,1.18%
791,792,Liege,677589,675403,0.32%
792,793,Dongtai,676996,655472,3.28%
793,794,Portland,676831,658347,1.38%
794,795,Lodz,676830,682458,-0.82%
795,796,Durgapur,675384,664915,1.57%
796,797,Yuncheng,675082,646283,4.46%
797,798,Las Vegas,674768,653840,1.58%
798,799,Dengzhou,673626,642552,4.84%
799,800,Gulbarga,673027,658535,2.20%
800,801,Huambo,671413,656977,2.20%
801,802,Oklahoma City,669363,653865,1.17%
802,803,Al Hudaydah,668899,649129,3.05%
803,804,Buraydah,668775,652396,2.51%
804,805,Ezhou,668405,661038,1.11%
805,806,Pontianak,667910,655595,1.88%
806,807,Merca,666370,637357,4.55%
807,808,Mar Del Plata,665707,659410,0.95%
808,809,Akure,665524,641733,3.71%
809,810,Kurnool,665186,644449,3.22%
810,811,Malanje,665150,626862,6.11%
811,812,Jeonju,663145,662870,0.04%
812,813,Yuxi,662863,631110,5.03%
813,814,Detroit,658631,665713,-0.53%
814,815,Tabuk,657277,647410,1.52%
815,816,Zhangjiagang,656036,627897,4.48%
816,817,Lattakia,655714,645186,1.63%
817,818,Amara,655663,631442,3.84%
818,819,Taicang,654441,628692,4.10%
819,820,Busto Arsizio,654258,650530,0.57%
820,821,General Santos City,652723,640361,1.93%
821,822,Macao,651875,642090,1.52%
822,823,Izhevsk,651338,651079,0.04%
823,824,Zhoukou,650060,628346,3.46%
824,825,Ibb,648889,607531,6.81%
825,826,Zhoushan,647419,635411,1.89%
826,827,Neijiang,645874,638674,1.13%
827,828,Memphis,645769,649243,-0.27%
828,829,Denizli,644782,628432,2.60%
829,830,Jamnagar,644738,639662,0.79%
830,831,Qinzhou,644359,626663,2.82%
831,832,Jhansi,642709,632166,1.67%
832,833,Samsun,642592,623644,3.04%
833,834,Chongjin,642447,639743,0.42%
834,835,Tamale,641911,611806,4.92%
835,836,Wroclaw,641401,640585,0.13%
836,837,Doha,641380,637347,0.63%
837,838,Sokoto,641249,621694,3.15%
838,839,Renqiu,640271,615759,3.98%
839,840,Barnaul,639783,639126,0.10%
840,841,Loudi,639167,614015,4.10%
841,842,Hegang,638855,633811,0.80%
842,843,Irkutsk,638843,635870,0.47%
843,844,As Suways,638229,627455,1.72%
844,845,Bulawayo,638188,638467,-0.04%
845,846,Bijie,637795,612321,4.16%
846,847,Be'er Sheva,637539,631052,1.03%
847,848,Chiclayo,637255,629260,1.27%
848,849,Venice,637245,636244,0.16%
849,850,Ankang,636293,605136,5.15%
850,851,Erode,634977,622398,2.02%
851,852,Manama,634508,600433,5.68%
852,853,Goma,634197,599208,5.84%
853,854,Bokaro Steel City,633551,625824,1.23%
854,855,Pachuca De Soto,633453,620630,2.07%
855,856,Khabarovsk,633151,629682,0.55%
856,857,Stuttgart,632692,631453,0.20%
857,858,Puyang,632347,610020,3.66%
858,859,Dusseldorf,631942,628459,0.55%
859,860,Longhai,631203,606799,4.02%
860,861,Durango,630982,619119,1.92%
861,862,Riga,630692,633820,-0.49%
862,863,Belfast,630632,626760,0.62%
863,864,Wuhai,630295,615806,2.35%
864,865,Safaqis,630175,624146,0.97%
865,866,Verona,629658,625890,0.60%
866,867,Tongxiang,629527,602260,4.53%
867,868,Jambi,626192,615859,1.68%
868,869,Haimen,626067,606263,3.27%
869,870,Hezhou,625304,595675,4.97%
870,871,Sanya,625290,605586,3.25%
871,872,Ulyanovsk,624896,625837,-0.15%
872,873,Raurkela,622636,614790,1.28%
873,874,Bari,622377,622287,0.01%
874,875,Louisville/jefferson County Balance,622313,619287,0.24%
875,876,Seregno,619871,614571,0.86%
876,877,Kolhapur,619358,612880,1.06%
877,878,Kryvyi Rih,618706,623894,-0.83%
878,879,Nasiriyah,616994,600113,2.81%
879,880,Yulin Guangxi,613668,605882,1.29%
880,881,Ajmer,613617,606616,1.15%
881,882,Bacolod,613437,602459,1.82%
882,883,Yaroslavl,612365,612247,0.02%
883,884,Kuching,611566,602427,1.52%
884,885,Al Ain,610887,598368,2.09%
885,886,Zahedan,609873,603634,1.03%
886,887,Vladivostok,609754,609930,-0.03%
887,888,San Jose Del Monte,607692,600251,1.24%
888,889,Ujjain,607055,596869,1.71%
889,890,Brighton,606909,601574,0.89%
890,891,Bandar Abbas,606633,585287,3.65%
891,892,Jubayl,605743,579260,4.57%
892,893,Herat,605575,575806,5.17%
893,894,Hanzhong,605327,592759,2.12%
894,895,Miluo,604159,568421,6.29%
895,896,Hillah,604149,594261,1.66%
896,897,Feira De Santana,602128,593981,1.37%
897,898,Anshun,600121,580847,3.32%
898,899,Bilaspur,599812,583279,2.83%
899,900,Makhachkala,599792,598979,0.14%
900,901,Bissau,599714,578829,3.61%
901,902,Jinzhong,599611,581798,3.06%
902,903,Patiala,599186,581771,2.99%
903,904,Yichun Heilongjiang,598465,605399,-1.15%
904,905,Bauchi,597679,575617,3.83%
905,906,Tlaxcala,596362,586129,1.75%
906,907,Tomsk,595642,590480,0.87%
907,908,Siping,594482,584669,1.68%
908,909,Nay Pyi Taw,593596,546487,8.62%
909,910,Sihui,591080,562577,5.07%
910,911,Leipzig,591052,585246,0.99%
911,912,Kagoshima,591042,593758,-0.46%
912,913,Kingston,590940,589849,0.18%
913,914,Sanliurfa,590522,584693,1.00%
914,915,Malaga,590032,588778,0.21%
915,916,Uvira,589731,557567,5.77%
916,917,Dortmund,589600,589457,0.02%
917,918,Comilla,588772,568563,3.55%
918,919,Cuiaba,588566,585825,0.47%
919,920,Xiantao,588540,583836,0.81%
920,921,Mathura,588334,573517,2.58%
921,922,Baltimore,587712,601188,-1.13%
922,923,Enshi,586667,553318,6.03%
923,924,Ibague,586187,581760,0.76%
924,925,Catania,585877,585825,0.01%
925,926,Shishi,585317,572218,2.29%
926,927,Fuqing,584631,571706,2.26%
927,928,Sangli,583629,575879,1.35%
928,929,Essen,582128,582777,-0.11%
929,930,Pereira,579620,579577,0.01%
930,931,Calabar,579273,554887,4.39%
931,932,Toulon,579095,577180,0.33%
932,933,Qitaihe,578992,570264,1.53%
933,934,Samarkand,578762,565832,2.29%
934,935,Daye,578374,563779,2.59%
935,936,Samut Sakhon,578273,570504,1.36%
936,937,Cabimas,578222,567757,1.84%
937,938,Hamadan,577808,571287,1.14%
938,939,Milwaukee,577583,586315,-0.75%
939,940,Jingjiang,577513,555332,3.99%
940,941,Sanhe,576241,547190,5.31%
941,942,Djibouti,576157,568804,1.29%
942,943,Xinmi,575696,549770,4.72%
943,944,Imphal,575625,557632,3.23%
944,945,Juiz De Fora,575481,569996,0.96%
945,946,Agartala,575073,554700,3.67%
946,947,Tonghua,572967,562008,1.95%
947,948,Abakaliki,572028,543058,5.33%
948,949,Bouake,571876,564745,1.26%
949,950,Udon Thani,570115,563600,1.16%
950,951,Beira,569911,556499,2.41%
951,952,Udaipur,569224,558710,1.88%
952,953,Vellore,569048,559693,1.67%
953,954,Orenburg,568812,568599,0.04%
954,955,Anyang,567945,571888,-0.69%
955,956,Ardabil,567912,557544,1.86%
956,957,Likasi,567839,551540,2.96%
957,958,Bloemfontein,567029,556450,1.90%
958,959,Albuquerque,566593,562935,0.32%
959,960,Dongyang,566083,553572,2.26%
960,961,Mbeya,566065,540637,4.70%
961,962,Hebi,565986,555886,1.82%
962,963,Kemerovo,565759,564347,0.25%
963,964,Tirunelveli,565735,558182,1.35%
964,965,Cenxi,565509,537757,5.16%
965,966,Yazd,565449,555793,1.74%
966,967,Bremen,565354,564270,0.19%
967,968,Gaya,565253,555350,1.78%
968,969,Poza Rica De Hidalgo,564578,558965,1.00%
969,970,Jalgaon,564540,552922,2.10%
970,971,Shuozhou,563456,542198,3.92%
971,972,Santa Fe,562917,555753,1.29%
972,973,Matamoros,562755,554922,1.41%
973,974,Kitchener,562466,553973,1.53%
974,975,Zaoyang,562379,548745,2.48%
975,976,Sanmenxia,561369,543195,3.35%
976,977,Cangzhou,560962,553694,1.31%
977,978,Thoothukkudi,560930,543853,3.14%
978,979,Basel,559027,555469,0.64%
979,980,Yiyang Hunan,558615,540947,3.27%
980,981,Oujda,558524,546962,2.11%
981,982,Gomel,557589,552354,0.95%
982,983,Irbid,556899,553576,0.60%
983,984,Al Mansurah,555621,546574,1.66%
984,985,Karbala,555073,545987,1.66%
985,986,Meknes,553755,547396,1.16%
986,987,Weinan,553302,542115,2.06%
987,988,Leicester,552178,547352,0.88%
988,989,Jiaozhou,551500,534608,3.16%
989,990,Ogbomosho,551474,527194,4.61%
990,991,Feicheng,551319,542285,1.67%
991,992,Arak,551006,542824,1.51%
992,993,Novokuznetsk,550575,551987,-0.26%
993,994,Zhaodong,550240,527598,4.29%
994,995,Chiang Rai,549966,542578,1.36%
995,996,Kota Kinabalu,549586,536285,2.48%
996,997,Hamhung,548992,553224,-0.76%
997,998,Panipat,547952,536422,2.15%
998,999,Khamis Mushayt,547724,539906,1.45%
999,1000,Kahramanmaras,546688,533434,2.48%
1000,1001,Tongchuan,546649,537167,1.77%
1001,1002,Tepic,545941,533572,2.32%
1002,1003,Utrecht,544389,536473,1.48%
1003,1005,Shouguang,544207,536303,1.47%
1004,1004,Port Of Spain,544207,544259,-0.01%
1005,1006,Villavicencio,544115,534290,1.84%
1006,1007,Rajahmundry,543729,536298,1.39%
1007,1008,Ndola,542495,531047,2.16%
1008,1009,Kerman,541485,539893,0.29%
1009,1010,Dengfeng,540789,509717,6.10%
1010,1011,Ryazan,540317,540502,-0.03%
1011,1012,Tucson,539766,535236,0.42%
1012,1013,Sakarya,539445,524986,2.75%
1013,1014,Guangyuan,539179,520905,3.51%
1014,1015,Chaoyang,539052,531831,1.36%
1015,1016,Rayong,538150,530921,1.36%
1016,1017,Gaozhou,537329,512852,4.77%
1017,1018,Hannover,536976,536498,0.09%
1018,1019,Edinburgh,536775,530741,1.14%
1019,1020,Fresno,536253,529153,0.67%
1020,1021,Cuito,535407,501936,6.67%
1021,1022,Astrakhan,534947,535191,-0.05%
1022,1023,Naberezhnye Tchelny,534726,534307,0.08%
1023,1024,Sukkur,534486,524179,1.97%
1024,1025,Larkana,534288,519899,2.77%
1025,1026,Valledupar,533453,518190,2.95%
1026,1027,Bamenda,533257,513820,3.78%
1027,1028,Basilan City,533135,517687,2.98%
1028,1029,Abeokuta,532856,523653,1.76%
1029,1030,Mazar E Sharif,532689,501665,6.18%
1030,1031,Poznan,531030,533731,-0.51%
1031,1032,Namangan,528763,521090,1.47%
1032,1033,Imus,527779,501303,5.28%
1033,1034,Grenoble,527720,524853,0.55%
1034,1035,Haining,527655,512822,2.89%
1035,1036,Santa Marta,527326,520650,1.28%
1036,1037,Surakarta,527279,523581,0.71%
1037,1038,Pietermaritzburg,526912,521419,1.05%
1038,1039,Yongkang,526069,508796,3.39%
1039,1040,Pingdu,525093,514025,2.15%
1040,1041,Taishan,524937,510086,2.91%
1041,1042,Calamba,524577,509898,2.88%
1042,1043,Mekele,523914,505485,3.65%
1043,1044,Heyuan,523818,515422,1.63%
1044,1045,Ar Rusayfah,523543,520419,0.60%
1045,1046,Penza,523092,524131,-0.20%
1046,1047,Utsunomiya,522100,522331,-0.04%
1047,1048,Chuzhou,522062,507265,2.92%
1048,1049,Vale Do Aco,521744,517889,0.74%
1049,1050,Al Raqqa,521537,513163,1.63%
1050,1051,Bellary,520926,508535,2.44%
1051,1052,Longkou,520568,505504,2.98%
1052,1053,Qingzhou,520371,504795,3.09%
1053,1054,Sacramento,519362,507298,1.18%
1054,1055,Kalasin,517635,510681,1.36%
1055,1056,Al Mahallah Al Kubra,517549,511770,1.13%
1056,1057,Sheikhupura,517342,504174,2.61%
1057,1058,Cuautla Morelos,516755,508021,1.72%
1058,1059,Puerto Vallarta,515909,501280,2.92%
1059,1060,Duisburg,515076,510611,0.87%
1060,1061,Balashikha,514662,497762,3.40%
1061,1062,Dali,514610,497598,3.42%
1062,1063,Shizuishan,514455,501894,2.50%
1063,1064,Kakinada,514227,506331,1.56%
1064,1065,Ambon,513457,492880,4.17%
1065,1066,Diwaniyah,513369,493968,3.93%
1066,1067,Songyuan,513231,507408,1.15%
1067,1068,Kirov,513003,510777,0.44%
1068,1069,Nurenberg,511941,512022,-0.02%
1069,1070,Davanagere,511843,503318,1.69%
1070,1071,Qianjiang,511738,503238,1.69%
1071,1072,Gongyi,511410,494683,3.38%
1072,1073,Van,511391,494442,3.43%
1073,1074,Shangyu,510813,497234,2.73%
1074,1075,Atlanta,510730,491626,1.91%
1075,1076,Uige,510631,475198,7.46%
1076,1077,Porto Velho,510419,498873,2.31%
1077,1078,Changning,510275,489328,4.28%
1078,1079,Mesa,509963,497275,1.26%
1079,1080,Matsuyama,509958,511745,-0.35%
1080,1081,Angeles City,509765,489068,4.23%
1081,1082,Rustenburg,509368,485087,5.01%
1082,1083,Gombe,508575,488715,4.06%
1083,1084,Gaoyou,507934,488387,4.00%
1084,1085,Kansas City,507652,494536,1.31%
1085,1086,Yanshi,507643,482460,5.22%
1086,1087,Kikwit,507462,489903,3.58%
1087,1088,Lipetsk,507291,508968,-0.33%
1088,1089,Al Mukalla,506356,476632,6.24%
1089,1090,Cheboksary,505870,502323,0.71%
1090,1091,Bournemouth,505687,501288,0.88%
1091,1092,Laixi,505117,486767,3.77%
1092,1093,Mataram,505024,493946,2.24%
1093,1094,Karaganda,504946,505426,-0.09%
1094,1095,Miami,504439,479009,2.59%
1095,1096,Muzaffarpur,504158,492089,2.45%
1096,1097,El Djelfa,503397,479240,5.04%
1097,1098,Colorado Springs,503365,484233,1.94%
1098,1099,Nakhon Pathom,503271,487303,3.28%
1099,1100,Shuangyashan,503179,499964,0.64%
1100,1101,Kuantan,502866,491303,2.35%
1101,1102,Khon Kaen,502594,495842,1.36%
1102,1103,Tanta,501423,495344,1.23%
1103,1104,Chuxiong,500867,481012,4.13%
1104,1105,Douai Lens,500776,501078,-0.06%
1105,1106,Ziyang,500094,485973,2.91%
1106,1107,Murcia,499783,494441,1.08%
1107,1108,Berbera,499396,477672,4.55%
1108,1109,Chisinau,499034,504342,-1.05%
1109,1110,Jinjiang,498294,486776,2.37%
1110,1111,Eslamshahr,498261,484903,2.75%
1111,1112,Kandahar,498002,484812,2.72%
1112,1113,Loum,497578,471646,5.50%
1113,1114,Malatya,496002,488023,1.63%
1114,1115,Surat Thani,495968,489305,1.36%
1115,1116,Ubon Ratchathani,495308,488819,1.33%
1116,1117,Kolwezi,494654,490072,0.93%
1117,1118,Raleigh,494612,476746,1.84%
1118,1119,Hosur,493896,458264,7.78%
1119,1120,Tirana,493712,484624,1.88%
1120,1121,Arusha,492919,482609,2.14%
1121,1122,Zhongxiang,491713,485472,1.29%
1122,1123,Nanping,491287,482045,1.92%
1123,1124,Changge,490123,464481,5.52%
1124,1125,Zinder,489178,463523,5.53%
1125,1126,Jingmen,488922,478600,2.16%
1126,1127,Xingning,487815,461404,5.72%
1127,1128,Jianyang,487133,473228,2.94%
1128,1129,Beihai,486986,483658,0.69%
1129,1130,Macapa,486424,476431,2.10%
1130,1131,Mbouda,485660,455304,6.67%
1131,1132,Chaohu,485120,475960,1.92%
1132,1133,Mykolaiv,484659,486559,-0.39%
1133,1134,Guang An,484324,464647,4.23%
1134,1135,Brescia,483865,480543,0.69%
1135,1136,Caxias Do Sul,483770,478177,1.17%
1136,1137,La Serena Coquimbo,483640,472832,2.29%
1137,1138,Port Sudan,483510,474712,1.85%
1138,1139,Barisal,483506,467491,3.43%
1139,1140,Changyi,482027,458433,5.15%
1140,1141,Rupganj,481718,441158,9.19%
1141,1142,El Obeid,481350,468125,2.83%
1142,1143,Como,480879,477767,0.65%
1143,1144,Kenitra,480038,471211,1.87%
1144,1145,Ado Ekiti,479674,462757,3.66%
1145,1146,Latur,479399,468613,2.30%
1146,1147,Oita,479259,479878,-0.13%
1147,1148,Bhagalpur,479101,471682,1.57%
1148,1149,Cardiff,477627,474187,0.73%
1149,1150,Purnia,477567,457972,4.28%
1150,1151,Petrolina,477235,468101,1.95%
1151,1152,Cagliari,476265,476131,0.03%
1152,1153,Kurashiki,475975,477023,-0.22%
1153,1154,Orizaba,475360,470152,1.11%
1154,1155,Seremban,474691,465110,2.06%
1155,1156,Piura,474358,467302,1.51%
1156,1157,Yongcheng,473513,456441,3.74%
1157,1158,Tula,473159,477113,-0.83%
1158,1159,Blida,472733,459523,2.87%
1159,1160,Iloilo City,471789,466456,1.14%
1160,1161,Kut,471238,463525,1.66%
1161,1162,Kismaayo,471134,451682,4.31%
1162,1163,San Cristobal,471046,465944,1.09%
1163,1164,Cusco,470720,461407,2.02%
1164,1165,Lapu Lapu City,470050,457077,2.84%
1165,1166,Rouen,470004,469230,0.16%
1166,1167,Iquitos,469582,462358,1.56%
1167,1168,Katsina,469557,453255,3.60%
1168,1169,Avignon,469504,466954,0.55%
1169,1170,Begusarai,467632,440122,6.25%
1170,1171,Zanjan,467460,457666,2.14%
1171,1172,Palma,467005,461196,1.26%
1172,1173,Xuancheng,466755,449011,3.95%
1173,1174,Rohtak,466576,456267,2.26%
1174,1175,Gent,466412,463257,0.68%
1175,1176,Kanazawa,466219,466930,-0.15%
1176,1177,Zhuanghe,465761,446690,4.27%
1177,1178,Kabinda,465599,430934,8.04%
1178,1179,Gdansk,465475,465142,0.07%
1179,1180,Fukuyama,465446,466133,-0.15%
1180,1181,Long Beach,464894,467512,-0.28%
1181,1182,Kursk,464731,461303,0.74%
1182,1183,Okene,464573,451807,2.83%
1183,1184,Rahim Yar Khan,463949,450973,2.88%
1184,1185,Montpellier,462162,456199,1.31%
1185,1186,Juazeiro Do Norte,461342,453798,1.66%
1186,1187,Asyut,460998,455450,1.22%
1187,1188,Taranto,460246,460481,-0.05%
1188,1189,Mymensingh,459983,452940,1.55%
1189,1190,Wafangdian,459825,454334,1.21%
1190,1191,Yuhuan,459707,447375,2.76%
1191,1192,Shillong,459698,447867,2.64%
1192,1193,Gaoan,459240,439821,4.42%
1193,1194,Fuan,459059,443697,3.46%
1194,1195,Chizhou,458420,438219,4.61%
1195,1196,Kelamayi,457422,445576,2.66%
1196,1197,Canberra,457330,452497,1.07%
1197,1198,Virginia Beach,455594,454098,0.16%
1198,1199,Mazatlan,454733,446999,1.73%
1199,1200,Liyang,454339,444577,2.20%
1200,1201,Witbank,454301,437742,3.78%
1201,1202,Omaha,453758,450364,0.38%
1202,1203,Buri Ram,453747,447651,1.36%
1203,1204,Irapuato,452605,445026,1.70%
1204,1205,Igbidu,452583,441292,2.56%
1205,1206,Ramadi,452226,444824,1.66%
1206,1207,Bhilwara,452209,441830,2.35%
1207,1208,Guarenas Guatire,451542,440983,2.39%
1208,1209,Buenaventura,451498,442535,2.03%
1209,1210,Campos Dos Goytacazes,451055,448606,0.55%
1210,1211,Dera Ghazikhan,450809,435325,3.56%
1211,1212,Akola,450707,447742,0.66%
1212,1213,Banjul,450689,443428,1.64%
1213,1214,Yamunanagar,450564,443111,1.68%
1214,1215,Xinzhu,450520,446746,0.84%
1215,1216,Newcastle,450360,447446,0.65%
1216,1217,Stavropol,450094,446408,0.83%
1217,1218,Sochi,450024,440238,2.22%
1218,1219,Lampang,449481,443442,1.36%
1219,1220,Anantapur,448883,436621,2.81%
1220,1221,Latina,448839,443504,1.20%
1221,1222,Fengcheng,448073,440268,1.77%
1222,1223,Manizales,448035,446250,0.40%
1223,1224,Minna,447959,434120,3.19%
1224,1225,Nuevo Laredo,446724,440071,1.51%
1225,1226,Suizhou,445438,439317,1.39%
1226,1227,Volta Redonda,445226,444664,0.13%
1227,1228,Sanandaj,444840,436232,1.97%
1228,1229,Xinzheng,443992,431836,2.81%
1229,1230,Ulan Ude,443948,441470,0.56%
1230,1231,Kadapa,443336,432260,2.56%
1231,1232,Bayannaoer,443110,433048,2.32%
