,Rank,Name,2020 Population,2019 Population,Change
137,138,Kuwait City,3114553,3052493,2.03%
138,139,Kochi,3082055,2969638,3.79%
139,140,Lanzhou,3080522,3007613,2.42%
140,141,Thrissur,3068164,2920761,5.05%
141,142,Port Harcourt,3020232,2873322,5.11%
142,143,Guayaquil,2994218,2946158,1.63%
143,144,Sanaa,2972988,2874373,3.43%
144,145,Lisbon,2956879,2942097,0.50%
145,146,Surabaya,2944403,2921630,0.78%
146,147,Guatemala City,2934841,2891230,1.51%
147,148,Shizuoka,2922320,2911784,0.36%
148,149,Zhongshan,2913974,2890965,0.80%
149,150,Dubai,2878344,2833079,1.60%
150,151,Incheon,2801039,2782612,0.66%
151,152,Coimbatore,2786600,2713233,2.70%
152,153,Cali,2781980,2754078,1.01%
153,154,Ouagadougou,2780331,2652720,4.81%
154,155,Lusaka,2774133,2646619,4.82%
155,156,Port Au Prince,2773553,2704187,2.57%
156,157,Algiers,2767661,2729325,1.40%
157,158,Manchester,2730076,2710074,0.74%
158,159,Depok,2727209,2615154,4.28%
159,160,Taiyuan,2721485,2713112,0.31%
160,161,Goiania,2690011,2628413,2.34%
161,162,Chicago,2670406,2687682,-0.32%
162,163,Sapporo,2669680,2667852,0.07%
163,164,Huaian,2655320,2537652,4.64%
164,165,Weifang,2653989,2560068,3.67%
165,166,Zibo,2639735,2596275,1.67%
166,167,Bamako,2617686,2529328,3.49%
167,168,Thiruvananthapuram,2584752,2476928,4.35%
168,169,Vancouver,2581079,2555884,0.99%
169,170,Bandung,2580191,2557561,0.88%
170,171,Pretoria,2565660,2472612,3.76%
171,172,Shaoxing,2540018,2444934,3.89%
172,173,Yantai,2526702,2442581,3.44%
173,174,Mbuji Mayi,2525263,2412532,4.67%
174,175,Huizhou,2524543,2441944,3.38%
175,176,Tashkent,2517381,2490334,1.09%
176,177,Accra,2514005,2475208,1.57%
177,178,Lubumbashi,2478262,2377495,4.24%
178,179,Toluca De Lerdo,2467241,2410875,2.34%
179,180,San Juan,2448417,2451375,-0.12%
180,181,Beirut,2424425,2406875,0.73%
181,182,Brisbane,2406182,2372335,1.43%
182,183,Damascus,2392045,2353637,1.63%
183,184,Bhopal,2389547,2333106,2.42%
184,185,Brazzaville,2388090,2308076,3.47%
185,186,Luoyang,2387094,2311242,3.28%
186,187,Houston,2378146,2340814,0.79%
187,188,Tunis,2365201,2327822,1.61%
188,189,Baku,2341443,2313138,1.22%
189,190,Tangerang,2338547,2279906,2.57%
190,191,Medan,2337958,2310522,1.19%
191,192,Belem,2334462,2307615,1.16%
192,193,Sendai,2327417,2317722,0.42%
193,194,Mogadishu,2282009,2179855,4.69%
194,195,Nantong,2275777,2199133,3.49%
195,196,Barranquilla,2272914,2245912,1.20%
196,197,Manaus,2260788,2216713,1.99%
