,Name,City,Country,IATA,Lat,Long,city_population,country_population,country_density,source_airport,destination_flights,flights_coefficient
4217,Roma Airport,Roma,Australia,RMA,-26.545000076300006,148.774993896,26874.0,25203198.0,3.2765,RMA,173.0,155.3365056738778
4218,St George Airport,St George,Australia,SGO,-28.049699783325195,148.59500122070312,1399.0,25203198.0,3.2765,SGO,9.0,155.3365056738778
4222,Thargomindah Airport,Thargomindah,Australia,XTG,-27.98640060424805,143.81100463867188,1243.0,25203198.0,3.2765,XTG,8.0,155.3365056738778
4226,Windorah Airport,Windorah,Australia,WNR,-25.41309928894043,142.66700744628906,1399.0,25203198.0,3.2765,WNR,9.0,155.3365056738778
4227,Whyalla Airport,Whyalla,Australia,WYA,-33.05889892578125,137.51400756835938,23767.0,25203198.0,3.2765,WYA,153.0,155.3365056738778
4230,Winton Airport,Winton,Australia,WIN,-22.36359977722168,143.08599853515625,2486.0,25203198.0,3.2765,WIN,16.0,155.3365056738778
4231,Wynyard Airport,Burnie,Australia,BWT,-40.9989013671875,145.7310028076172,20039.0,25203198.0,3.2765,BWT,129.0,155.3365056738778
4234,Beijing Nanyuan Airport,Beijing,China,NAY,39.78279876708984,116.38800048828124,20462610.0,1433783686.0,147.7068,NAY,1760.0,423.24810425698024
4235,Chifeng Airport,Chifeng,China,CIF,42.23500061035156,118.90799713134766,1164793.0,1433783686.0,147.7068,CIF,1248.0,423.24810425698024
4236,Changzhi Airport,Changzhi,China,CIH,36.247501,113.125999,846365.0,1433783686.0,147.7068,CIH,300.0,423.24810425698024
4237,Datong Airport,Datong,China,DAT,40.060299,113.482002,1745333.0,1433783686.0,147.7068,DAT,238.0,423.24810425698024
4238,Baita International Airport,Hohhot,China,HET,40.851398,111.823997,2163394.0,1433783686.0,147.7068,HET,6986.0,423.24810425698024
4239,Baotou Airport,Baotou,China,BAV,40.560001373291016,109.99700164794922,2190495.0,1433783686.0,147.7068,BAV,760.0,423.24810425698024
4240,Shijiazhuang Daguocun International Airport,Shijiazhuang,China,SJW,38.28070068359375,114.6969985961914,4114393.0,1433783686.0,147.7068,SJW,6037.0,423.24810425698024
4241,Tongliao Airport,Tongliao,China,TGO,43.556702,122.199997,702280.0,1433783686.0,147.7068,TGO,918.0,423.24810425698024
4242,Ulanhot Airport,Ulanhot,China,HLH,46.195333000000005,122.008333,142635.0,1433783686.0,147.7068,HLH,337.0,423.24810425698024
4243,Xilinhot Airport,Xilinhot,China,XIL,43.91559982299805,115.96399688720705,237866.0,1433783686.0,147.7068,XIL,562.0,423.24810425698024
4244,Beihai Airport,Beihai,China,BHY,21.5394,109.293999,486986.0,1433783686.0,147.7068,BHY,602.0,423.24810425698024
4245,Changde Airport,Changde,China,CGD,28.9188995361,111.63999939,830010.0,1433783686.0,147.7068,CGD,179.0,423.24810425698024
4246,Dayong Airport,Dayong,China,DYG,29.1028,110.443001,245061.0,1433783686.0,147.7068,DYG,579.0,423.24810425698024
4247,Meixian Airport,Meixian,China,MXZ,24.35000038146973,116.13300323486328,67720.0,1433783686.0,147.7068,MXZ,160.0,423.24810425698024
4248,Zhuhai Jinwan Airport,Zhuhai,China,ZUH,22.006399,113.375999,1759378.0,1433783686.0,147.7068,ZUH,4883.0,423.24810425698024
4249,Liuzhou Bailian Airport,Liuzhou,China,LZH,24.2075,109.390999,2165257.0,1433783686.0,147.7068,LZH,239.0,423.24810425698024
4250,Zhanjiang Airport,Zhanjiang,China,ZHA,21.214399,110.358002,1286854.0,1433783686.0,147.7068,ZHA,838.0,423.24810425698024
4251,Enshi Airport,Enshi,China,ENH,30.3202991486,109.48500061,586667.0,1433783686.0,147.7068,ENH,488.0,423.24810425698024
4252,Nanyang Jiangying Airport,Nanyang,China,NNY,32.980801,112.614998,84227.0,1433783686.0,147.7068,NNY,199.0,423.24810425698024
4253,Xiangyang Liuji Airport,Xiangfan,China,XFN,32.1506,112.291,55446.0,1433783686.0,147.7068,XFN,131.0,423.24810425698024
4254,Yichang Sanxia Airport,Yichang,China,YIH,30.55655,111.479988,1548423.0,1433783686.0,147.7068,YIH,606.0,423.24810425698024
4256,Golmud Airport,Golmud,China,GOQ,36.4006,94.786102,34284.0,1433783686.0,147.7068,GOQ,81.0,423.24810425698024
4258,Qingyang Airport,Qingyang,China,IQN,35.799702,107.602997,93962.0,1433783686.0,147.7068,IQN,222.0,423.24810425698024
4259,Xining Caojiabu Airport,Xining,China,XNN,36.5275,102.042999,1539437.0,1433783686.0,147.7068,XNN,4435.0,423.24810425698024
4260,Yan'an Ershilipu Airport,Yan'an,China,ENY,36.636902,109.554001,43172.0,1433783686.0,147.7068,ENY,102.0,423.24810425698024
4261,Yulin Yuyang Airport,Yulin,China,UYN,38.35971,109.590927,554879.0,1433783686.0,147.7068,UYN,1311.0,423.24810425698024
4263,Altai Airport,Altai,Mongolia,LTI,46.37639999389648,96.22109985351562,9563.0,3225167.0,2.062,LTI,22.0,434.67313712085775
4264,Bayankhongor Airport,Bayankhongor,Mongolia,BYN,46.16329956054688,100.7040023803711,2174.0,3225167.0,2.062,BYN,5.0,434.67313712085775
4266,Khovd Airport,Khovd,Mongolia,HVD,47.9541015625,91.6281967163086,5651.0,3225167.0,2.062,HVD,13.0,434.67313712085775
4267,Mörön Airport,Muren,Mongolia,MXV,49.66329956054688,100.0989990234375,19126.0,3225167.0,2.062,MXV,44.0,434.67313712085775
4268,Diqing Airport,Shangri-La,China,DIG,27.7936,99.6772,112161.0,1433783686.0,147.7068,DIG,265.0,423.24810425698024
4269,Mangshi Airport,Luxi,China,LUM,24.4011,98.5317,527368.0,1433783686.0,147.7068,LUM,1246.0,423.24810425698024
4270,Pu'er Simao Airport,Simao,China,SYM,22.793301,100.959,213318.0,1433783686.0,147.7068,SYM,504.0,423.24810425698024
4271,Zhaotong Airport,Zhaotong,China,ZAT,27.32559967041016,103.75499725341795,338946.0,1433783686.0,147.7068,ZAT,183.0,423.24810425698024
4272,Ganzhou Airport,Ganzhou,China,KOW,25.853333,114.778889,1285039.0,1433783686.0,147.7068,KOW,497.0,423.24810425698024
4273,Jingdezhen Airport,Jingdezhen,China,JDZ,29.3386001587,117.176002502,396297.0,1433783686.0,147.7068,JDZ,286.0,423.24810425698024
